flowKey,minFiat,meanFiat,maxFiat,stdFiat,minBiat,meanBiat,maxBiat,stdBiat,minFpkt,meanFpkt,maxFpkt,stdFpkt,minBpkt,meanBpkt,maxBpkt,stdBpkt,protocol,duration,hasRTCP,fPackets,fBytes,bPackets,bBytes,label
"TCP: 121.51.191.86:443,172.16.105.71:57633",21,12399.333333333334,36845,17286.162950624857,0,0,0,0,0,129.25,517,223.8675668782774,0,0,0,0,6,37198,0,4,517,1,0,No Label
"TCP: 119.29.48.48:443,172.16.105.71:57048",182,10448.333333333334,21716,8819.685948049524,0,0,0,0,0,129.25,517,223.8675668782774,0,0,0,0,6,31345,0,4,517,1,0,No Label
"TCP: 172.16.105.71:57195,175.27.0.70:8081",64,44079,88094,44015,70219,70219,70219,0,0,414.3333333333333,1243,585.9558193432524,0,0,0,0,6,158240,0,3,1243,2,0,No Label
"TCP: 109.244.216.125:8081,172.16.105.63:61251",30,98807,296152,139544.01381881873,0,0,0,0,0,242.5,970,420.0223208354527,0,0,0,0,6,296421,0,4,970,1,0,No Label
"UDP: 106.55.127.74:443,172.16.105.71:61838",11514,28006,44498,16492,1,1,1,0,30,516.6666666666666,1350,592.0210206478221,28,689,1350,661,17,56012,0,3,1550,2,1378,No Label
"TCP: 172.16.105.71:65136,175.27.0.70:8081",64,47210.666666666664,141487,66663.43496667087,0,0,0,0,0,356,1424,616.6100874945204,0,0,0,0,6,141632,0,4,1424,1,0,No Label
"TCP: 183.2.143.214:8081,192.168.190.253:55588",131,16818,49731,23273.7664477984,0,0,0,0,0,340,1360,588.8972745734183,0,0,0,0,6,50454,0,4,1360,1,0,No Label
"TCP: 172.16.105.71:56355,183.2.144.71:80",2404,14773,38584,16841.172227609335,0,0,0,0,0,71.5,286,123.84163274117472,0,0,0,0,6,44319,0,4,286,1,0,No Label
"TCP: 120.241.25.185:8080,172.16.105.71:57130",13058,45937,78816,32879,97544,97544,97544,0,0,250.66666666666666,752,354.4961996348558,0,0,0,0,6,176312,0,3,752,2,0,No Label
"TCP: 109.244.249.10:80,172.16.105.71:56481",195,19959,39723,19764,44288,44288,44288,0,0,309.3333333333333,928,437.46339529407743,0,0,0,0,6,83939,0,3,928,2,0,No Label
"TCP: 183.2.143.214:8081,192.168.190.253:55486",57,15434.666666666666,46161,21726.801886661146,0,0,0,0,0,254.75,1019,441.2399432281715,0,0,0,0,6,46304,0,4,1019,1,0,No Label
"TCP: 109.244.249.245:8007,172.16.105.71:64469",209,70983.33333333333,212465,100042.64965281336,0,0,0,0,0,78,312,135.09996299037243,0,0,0,0,6,212950,0,4,312,1,0,No Label
"TCP: 172.16.105.71:64537,175.27.12.224:8081",30,29321.333333333332,87871,41400.868528195024,0,0,0,0,0,278.75,1115,482.80916260982457,0,0,0,0,6,87964,0,4,1115,1,0,No Label
"TCP: 109.244.154.131:443,172.16.105.71:64652",36,55350.333333333336,156666,71741.81126945584,0,0,0,0,0,129.25,517,223.8675668782774,0,0,0,0,6,166051,0,4,517,1,0,No Label
"TCP: 172.16.105.71:65107,175.27.0.70:8081",72,60200.5,120329,60128.5,111498,111498,111498,0,0,382.3333333333333,1147,540.7009853473133,0,0,0,0,6,231758,0,3,1147,2,0,No Label
"TCP: 81.69.100.164:8081,172.16.105.71:56314",80,13001.333333333334,38816,18253.72943324794,0,0,0,0,0,222.75,891,385.8143173859674,0,0,0,0,6,39004,0,4,891,1,0,No Label
"TCP: 172.16.105.71:56346,180.101.245.13:80",2939,15414.333333333334,26499,9668.466453143206,0,0,0,0,0,71.5,286,123.84163274117472,0,0,0,0,6,46243,0,4,286,1,0,No Label
"TCP: 121.51.191.86:443,172.16.105.71:56557",60,9359,27780,13025.814446705434,0,0,0,0,0,129.25,517,223.8675668782774,0,0,0,0,6,28077,0,4,517,1,0,No Label
"TCP: 109.244.216.125:8081,172.16.105.63:61276",54,86136.33333333333,258262,121711.2271576547,0,0,0,0,0,242.5,970,420.0223208354527,0,0,0,0,6,258409,0,4,970,1,0,No Label
"TCP: 121.51.191.86:443,172.16.105.71:57125",21,12556,37387,17558.439585187138,0,0,0,0,0,129.25,517,223.8675668782774,0,0,0,0,6,37668,0,4,517,1,0,No Label
"TCP: 172.16.105.71:56379,175.27.0.70:8081",17,12549.666666666666,37527,17661.678314613502,0,0,0,0,0,350.75,1403,607.5168207547837,0,0,0,0,6,37649,0,4,1403,1,0,No Label
"TCP: 172.16.105.71:64512,175.27.12.224:8081",19,37377.333333333336,112028,52785.99949692048,0,0,0,0,0,306.75,1227,531.3065852217532,0,0,0,0,6,112132,0,4,1227,1,0,No Label
"TCP: 172.16.105.71:65083,175.27.0.70:8081",61,49676,148851,70127.31861882833,0,0,0,0,0,346.75,1387,600.5886175245082,0,0,0,0,6,149028,0,4,1387,1,0,No Label
